Date,NIFTY,DOW,FTSE,Nikkei,HANSENG
15-04-2019,11752.79981,26559.53906,7459.899902,22200.56055,29963.25977
22-04-2019,11754.65039,26543.33008,7428.200195,22258.73047,29605.00977
29-04-2019,11712.25,26504.94922,7380.600098,21344.91992,30081.55078
06-05-2019,11278.90039,25942.36914,7203.299805,21250.08984,28550.24023
13-05-2019,11407.15039,25764,7348.600098,21117.2207,27946.46094
20-05-2019,11844.09961,25585.68945,7277.700195,20601.18945,27353.92969
27-05-2019,11922.79981,24815.03906,7161.700195,20884.71094,26901.08984
03-06-2019,11870.65039,25983.93945,7331.899902,21116.89063,26965.2793
10-06-2019,11823.29981,26089.60938,7345.799805,21258.64063,27118.34961
17-06-2019,11724.09961,26719.13086,7407.5,21275.91992,28473.71094
24-06-2019,11788.84961,26599.96094,7425.600098,21746.38086,28542.61914
01-07-2019,11811.15039,26922.11914,7553.100098,21685.90039,28774.83008
08-07-2019,11552.5,27332.0293,7506,21466.99023,28471.61914
15-07-2019,11419.25,27154.19922,7508.700195,21658.15039,28765.40039
22-07-2019,11284.29981,27192.44922,7549.100098,21087.16016,28397.74023
29-07-2019,10997.34961,26485.00977,7407.100098,20684.82031,26918.58008
05-08-2019,11109.65039,26287.43945,7253.899902,20418.81055,25939.30078
12-08-2019,11047.79981,25886.00977,7117.200195,20710.91016,25734.2207
19-08-2019,10829.34961,25628.90039,7095,20704.36914,26179.33008
26-08-2019,11023.25,26403.2793,7207.200195,21199.57031,25724.73047
02-09-2019,10946.2002,26797.46094,7282.299805,21988.28906,26690.75977
09-09-2019,11075.90039,27219.51953,7367.5,22079.08984,27352.68945
16-09-2019,11274.2002,26935.07031,7344.899902,21878.90039,26435.66992
23-09-2019,11512.40039,26820.25,7426.200195,21410.19922,25954.81055
30-09-2019,11174.75,26573.7207,7155.399902,21798.86914,25821.0293
07-10-2019,11305.04981,26816.58984,7247.100098,22492.67969,26308.43945
14-10-2019,11661.84961,26770.19922,7150.600098,22799.81055,26719.58008
21-10-2019,11583.90039,26958.06055,7324.5,22850.76953,26667.39063
28-10-2019,11890.59961,27347.35938,7302.399902,23391.86914,27100.75977
04-11-2019,11908.15039,27681.24023,7359.399902,23303.32031,27651.14063
11-11-2019,11895.4502,28004.89063,7302.899902,23112.88086,26326.66016
18-11-2019,11914.40039,27875.61914,7326.799805,23293.91016,26595.08008
25-11-2019,12056.04981,28051.41016,7346.5,23354.40039,26346.49023
02-12-2019,11921.5,28015.06055,7239.700195,24023.09961,26498.36914
09-12-2019,12086.7002,28135.38086,7353.399902,23816.63086,27687.75977
16-12-2019,12271.79981,28455.08984,7582.5,23837.7207,27871.34961
23-12-2019,12245.79981,28645.25977,7644.899902,23656.61914,28225.41992
30-12-2019,12226.65039,28634.88086,7622.399902,23850.57031,28451.5
06-01-2020,12256.79981,28823.76953,7587.899902,24041.25977,28638.19922
13-01-2020,12352.34961,29348.09961,7674.600098,23827.17969,29056.41992
20-01-2020,12248.25,28989.73047,7586,23205.17969,27949.64063
27-01-2020,11962.09961,28256.0293,7286,23827.98047,26312.63086
03-02-2020,12098.34961,29102.50977,7466.700195,23687.58984,27404.26953
10-02-2020,12113.4502,29398.08008,7409.100098,23386.74023,27815.59961
17-02-2020,12080.84961,28992.41016,7403.899902,21142.96094,27308.81055
24-02-2020,11201.75,25409.35938,6580.600098,20749.75,26129.92969
02-03-2020,10989.4502,25864.7793,6462.600098,17431.05078,26146.66992
09-03-2020,9955.200195,23185.61914,5366.100098,16552.83008,24032.91016
16-03-2020,8745.450195,19173.98047,5190.799805,19389.42969,22805.07031
23-03-2020,8660.25,21636.7793,5510.299805,17820.18945,23484.2793
30-03-2020,8083.799805,21052.5293,5415.5,19498.5,23236.10938
06-04-2020,9111.900391,23719.36914,5842.700195,19897.25977,24300.33008
13-04-2020,9266.75,24242.49023,5787,19262,24380
20-04-2020,9154.400391,23775.26953,5752.200195,19619.34961,23831.33008
27-04-2020,9859.900391,23723.68945,5763.100098,20179.08984,24643.58984
04-05-2020,9251.5,24331.32031,5936,20037.4707,24230.16992
11-05-2020,9136.849609,23685.41992,5799.799805,20388.16016,23797.4707
18-05-2020,9039.25,24465.16016,5993.299805,21877.89063,22930.14063
25-05-2020,9580.299805,25383.10938,6076.600098,22863.73047,22961.4707
01-06-2020,10142.15039,27110.98047,6484.299805,22305.48047,24770.41016
08-06-2020,9972.900391,25605.53906,6105.200195,22478.78906,24301.38086
15-06-2020,10244.40039,25871.46094,6292.600098,22512.08008,24643.89063
22-06-2020,10383,25015.55078,6159.299805,22306.48047,24549.99023
29-06-2020,10607.34961,25827.35938,6157.299805,22290.81055,25373.11914
06-07-2020,10768.04981,26075.30078,6095.399902,22696.41992,25727.41016
13-07-2020,10901.7002,26671.94922,6290.299805,22751.60938,25089.16992
20-07-2020,11194.15039,26469.89063,6123.799805,21710,24705.33008
27-07-2020,11073.4502,26428.32031,5897.799805,22329.93945,24595.34961
03-08-2020,11214.04981,27433.48047,6032.200195,23289.35938,24531.61914
10-08-2020,11178.40039,27931.01953,6090,22920.30078,25183.00977
17-08-2020,11371.59961,27930.33008,6001.899902,22882.65039,25113.83984
24-08-2020,11647.59961,28653.86914,5963.600098,23205.42969,25422.06055
31-08-2020,11333.84961,28133.31055,5799.100098,23406.49023,24695.44922
07-09-2020,11464.4502,27665.64063,6032.100098,23360.30078,24503.31055
14-09-2020,11504.9502,27657.41992,6007.100098,23204.61914,24455.41016
